id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,,2,445,2022-03-08,2.65,1,0,0,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,165,2,188,2024-11-11,1.12,1,61,7,
72833,"Private, Detached Cottage with Full Kitchen",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,,3,413,2023-03-26,2.47,1,0,0,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,297,4,45,2024-11-03,0.27,1,178,1,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,111,30,62,2024-06-29,0.37,2,194,2,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,81,2,259,2024-10-28,1.55,2,332,9,
75957,Charming 1 bedroom Guesthouse Apt. in Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,118,2,478,2024-11-24,2.85,2,140,32,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,125,2,239,2024-10-20,1.42,2,87,8,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,,2,206,2023-10-29,1.75,1,0,0,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,,2,16,2019-05-27,0.10,1,0,0,
77635,"Retro 60's Home,Walk to Zilker,Yard",416628,Carlos,,78704,30.25003,-97.77991,Entire home/apt,125,3,17,2024-10-20,0.11,2,362,2,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,57,2023-10-15,0.46,2,364,0,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,30,91,2022-10-17,0.96,2,153,0,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,,1,6,2019-05-26,0.04,3,0,0,
78422,Living the Dream on Richardine (3br 1ba E. Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,85,4,34,2024-08-28,0.20,1,175,10,
